yes_no_binary__has_document,yes_no_binary__avtodayanacaq,yes_no_binary__balkon,yes_no_binary__duzelme,yes_no_binary__esyali,yes_no_binary__hovuz,yes_no_binary__internet,yes_no_binary__isiq,yes_no_binary__kabel_tv,yes_no_binary__kombi,yes_no_binary__kondisioner,yes_no_binary__lift,yes_no_binary__merkezi_qizdirici_sistem,yes_no_binary__metbex_mebeli,yes_no_binary__pvc_pencere,yes_no_binary__qaz,yes_no_binary__su,yes_no_binary__telefon,yes_no_binary__temirsiz,cat_ohe__cities_Bakı,cat_ohe__cities_Lənkəran,cat_ohe__cities_Qəbələ,cat_ohe__cities_Siyazən,cat_ohe__cities_Sumqayıt,cat_ohe__cities_Xırdalan,cat_freq__raion_freq,num__price,num__rooms,num__area_m2,num__land_area_sot,num__floor,num__log_area_m2_v3,cat_bin__area_q5_v3,num__log_land_area_sot_v3,num__log_floor_v3,cat_bin__rooms_q4_v3,num__area_per_room_v3,num__rooms_per_area_v3,num__area_x_rooms_v3,num__area_x_floor_v3,num__floor_over_log_area_v3,num__land_to_area_ratio_v3,num__land_x_area_v3,num__area_bin_x_rooms_bin_v3,num__amenity_count_v3,num__comfort_score_v3,num__utility_score_v3,num__comfort_x_rooms_v3,num__utility_per_area_v3,num__log_raion_freq_v3,num__raionfreq_x_logarea_v3
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,32000.0,3.0,155.0,0.0,5.0,5.049856007249537,4.0,0.0,1.791759469228055,2.0,51.66664944445018,0.019354838584807493,465.0,775.0,0.9901270457405105,0.0,0.0,42.0,11.0,5.0,5.0,15.0,0.03225806430801249,0.15608979232162795,0.8530780302101799
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1671195652173913,13000.0,2.0,43.0,0.0,4.0,3.784189633918261,0.0,0.0,1.6094379124341003,0.0,21.499989250005374,0.04651162682531101,86.0,172.0,1.0570292004180253,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.1545388032553791,0.632412126320579
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1671195652173913,11000.0,2.0,67.51,0.0,9.0,4.226979720014808,2.0,0.0,2.302585092994046,0.0,33.75498312250844,0.02962524026625329,135.02,607.59,2.129179335355112,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.1545388032553791,0.706411012991605
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1671195652173913,12000.0,2.0,59.39,0.0,6.0,4.10082352831981,1.0,0.0,1.9459101490553132,0.0,29.69498515250742,0.03367570241327324,118.78,356.34000000000003,1.463120394097506,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.1545388032553791,0.6853278450860553
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1671195652173913,12000.0,2.0,42.5,0.0,3.0,3.7727609380946383,0.0,0.0,1.3862943611198906,0.0,21.24998937500531,0.04705882242214536,85.0,127.5,0.7951734165116956,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1545388032553791,0.6305021676435333
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1671195652173913,11000.0,3.0,78.0,0.0,2.0,4.3694478524670215,2.0,0.0,1.0986122886681098,2.0,25.999991333336222,0.038461537968441824,234.0,156.0,0.4577236323228239,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.1545388032553791,0.7302202253443527
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,21100.0,3.0,107.0,0.0,4.0,4.68213122712422,4.0,0.0,1.6094379124341003,2.0,35.66665477778174,0.028037382915538478,321.0,428.0,0.8543116268326348,0.0,0.0,42.0,8.0,3.0,4.0,9.0,0.03738317722071797,0.15608979232162795,0.7909578567560389
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,26000.0,3.0,129.8,0.0,13.0,4.873669439023098,4.0,0.0,2.6390573296152584,2.0,43.266652244449254,0.023112480561537127,389.40000000000003,1687.4,2.667394146290651,0.0,0.0,42.0,12.0,6.0,5.0,18.0,0.038520800935895216,0.15608979232162795,0.8233146289654056
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16893115942028986,26999.0,2.0,89.5,0.0,14.0,4.505349850705881,3.0,0.0,2.70805020110221,0.0,44.749977625011184,0.022346368465403704,179.0,1253.0,3.1074161511320555,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.15608979232162795,0.7610939738737742
1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14402173913043478,200000.0,3.0,92.0,0.0,10.0,4.532599493153256,3.0,0.0,2.3978952727983707,2.0,30.66665644444785,0.032608695297731576,276.0,920.0,2.2062390045417755,0.0,0.0,32.0,12.0,5.0,5.0,15.0,0.05434782549621929,0.13454989551345048,0.6527928617856592
