house_id,num__city_te_v6,num__district_te_v6,num__neighborhood_te_v6,num__metro_te_v6,num__metro_present_v6,num__location_te_mean_v6,num__district_to_city_ratio_v6,num__metro_to_district_ratio_v6,num__locmean_x_logarea_v6,num__locmean_x_rooms_v6
4824,172093.94040834717,238090.0569691347,179858.45591844554,226505.0700580753,1.0,204136.88083850069,1.3834889038092069,0.9513419961358884,990478.3238105578,612410.642515502
4825,173673.43080244618,204235.418703388,179545.8873685221,201373.77292025837,1.0,189707.1274486537,1.17597388246755,0.9859884940512124,788969.7631389629,569121.3823459609
4826,172665.963977089,86846.920316063,91545.18330126903,112868.03773967306,0.0,115981.52633352352,0.502976488910598,1.2996204969342782,468919.25708813855,231963.05266704704
4829,172665.963977089,181744.4936659548,152579.9720929789,112868.03773967306,0.0,154964.61686892394,1.052578571240698,0.6210258999455729,660564.5539805793,464893.8506067718
4830,173673.43080244618,141421.89752661716,151184.65957337312,112477.50920402698,0.0,144689.37427661588,0.8142978282421939,0.7953330507537713,667758.899792934,578757.4971064635
4831,173673.43080244618,182533.2164959364,179545.8873685221,112477.50920402698,0.0,162057.5109677329,1.0510140535112549,0.6162029649322199,712153.4920804733,486172.53290319873
4832,172093.94040834717,139991.07577673913,144100.6962547506,112788.20739951244,0.0,142243.47995983734,0.813457321296454,0.8056814105677986,584745.0041159554,284486.9599196747
4833,172053.2543386296,199807.6444347632,179896.7978490805,185865.03590975344,1.0,184405.68313305668,1.1613127877276126,0.9302198443639016,912579.4482466568,553217.0493991701
4835,172665.963977089,241265.3590697545,179429.6290971171,230019.0150675157,1.0,205844.99180286907,1.3972954108104978,0.9533859976974952,871569.6187312976,411689.98360573815
4836,107130.4701757773,105749.561377748,179545.8873685221,112477.50920402698,0.0,126225.8570315186,0.9871100276443232,1.0636215199151746,554693.1107299611,252451.7140630372
4839,106792.7526246908,105326.10742599612,179330.22074184896,111273.01289317563,0.0,125680.52342142788,0.9862664350938188,1.0564618365897689,520711.3410183822,251361.04684285575
4840,171730.5503435057,86316.20897561053,90180.7247181823,111273.01289317563,0.0,114875.12423261856,0.5026258216866659,1.2891322987010212,560038.8981612616,459500.4969304742
4841,172053.2543386296,179430.7063759363,179896.7978490805,163498.4906022132,1.0,173719.8122914649,1.0428788869156973,0.9112068603171312,882740.6124621314,521159.4368743948
4842,172665.963977089,181744.4936659548,179429.6290971171,112868.03773967306,0.0,161677.03111995847,1.052578571240698,0.6210258999455729,650806.9105717642,323354.06223991694
4843,81363.29628200714,159489.07189357487,179429.6290971171,112868.03773967306,0.0,133287.50875309305,1.960209076815444,0.7076850871279811,605564.4430596951,399862.5262592791
4844,85037.79682542048,98917.50167805588,179330.22074184896,111273.01289317563,0.0,118639.63303462524,1.1632180673726382,1.1249072308175352,537362.6134645205,237279.2660692505
4845,172665.963977089,153124.8174701249,179429.6290971171,112868.03773967306,0.0,154522.11207100103,0.8868268762542926,0.7370982679601028,642639.3978970934,463566.3362130031
4846,172093.94040834717,182303.2233839929,163909.55399742888,112788.20739951244,0.0,157773.73129732034,1.0593238957185924,0.6186846579301739,728144.784328863,631094.9251892813
4847,172053.2543386296,185096.2595740925,179896.7978490805,112160.1528600354,0.0,162301.61615545952,1.0758079542553507,0.6059558043880009,667201.4719665674,324603.23231091903
4848,171730.5503435057,180394.9046456432,179330.22074184896,199708.5556184546,1.0,182791.0578373631,1.0504531912566288,1.1070631734839902,711389.9492045633,365582.1156747262
4849,107488.99195811144,105639.55341174745,179896.7978490805,112160.1528600354,0.0,126296.3740197437,0.982794158604934,1.0617249811896794,503794.2211036724,252592.7480394874
4850,171730.5503435057,86316.20897561053,90180.7247181823,111273.01289317563,0.0,114875.12423261856,0.5026258216866659,1.2891322987010212,466443.8952759876,229750.2484652371
4852,172053.2543386296,86390.61623192331,90776.06404842576,112160.1528600354,0.0,115345.02186975352,0.5021155604612395,1.298290922681153,462225.9338900284,346035.0656092606
4853,173673.43080244618,241212.49020140927,179545.8873685221,178368.30042456836,1.0,193200.02719923647,1.38888538727838,0.7394654409267684,747916.1406011163,386400.05439847294
4854,173673.43080244618,170711.2353721633,158410.04971513286,156287.37206703098,1.0,164770.52198919334,0.9829438768061458,0.9155072407823496,729084.2892531706,329541.0439783867
4855,171730.5503435057,204055.39699323307,179330.22074184896,111273.01289317563,0.0,166597.29524294083,1.1882300300318205,0.545307865080973,768866.595325957,666389.1809717633
4856,172093.94040834717,238090.0569691347,179858.45591844554,226505.0700580753,1.0,204136.88083850069,1.3834889038092069,0.9513419961358884,920832.7895610482,408273.76167700137
4857,172093.94040834717,203742.40310596552,179858.45591844554,112788.20739951244,0.0,167120.75170806766,1.1839022490933642,0.5535823946294489,734403.6460717405,501362.255124203
4858,171730.5503435057,180394.9046456432,179330.22074184896,111273.01289317563,0.0,160682.17215604335,1.0504531912566288,0.616830132265303,702092.3720569599,321364.3443120867
4859,172665.963977089,181744.4936659548,158780.45081821136,176474.26330839266,1.0,172416.29294241196,1.052578571240698,0.9710019805704828,697087.9117761519,344832.585884824
4860,173673.43080244618,182533.2164959364,162672.25606079557,177506.409969005,1.0,174096.32833204578,1.0510140535112549,0.9724608669895668,703880.3809882179,348192.6566640916
4863,173673.43080244618,141421.89752661716,146000.0938826776,112477.50920402698,0.0,143393.232853942,0.8142978282421939,0.7953330507537713,630134.2709007537,430179.698561826
4864,171730.5503435057,180394.9046456432,179330.22074184896,170904.2209669453,1.0,175589.97417448575,1.0504531912566288,0.94738940272017,760433.3553774614,526769.9225234573
4865,172665.963977089,181875.74281454345,186240.9979589668,168499.2390506602,1.0,177320.48595031485,1.0533387045383371,0.9264525133599064,789847.0271631429,531961.4578509445
4866,172665.963977089,181875.74281454345,179429.6290971171,202313.9609414164,1.0,184071.3242075415,1.0533387045383371,1.1123746235175582,866889.4605509709,736285.296830166
4867,172053.2543386296,185096.2595740925,168218.87545714664,164286.54613143305,1.0,172413.73387532547,1.0758079542553507,0.8875735604196957,677900.7382847151,344827.46775065095
4868,172665.963977089,106696.62341855456,179429.6290971171,178212.92276443832,1.0,159251.28481429975,0.6179366272329974,1.6702770626926589,703706.0441812095,318502.5696285995
4869,108615.38678747624,106696.62341855456,179429.6290971171,112868.03773967306,0.0,126902.41926070524,0.982334331933482,1.0578407649870152,488593.0451678086,253804.83852141048
4870,171730.5503435057,238952.0165613719,179330.22074184896,222406.89068869225,1.0,203104.91958385467,1.3914356885365728,0.9307596306919592,963719.0583620664,609314.758751564
4872,173673.43080244618,182533.2164959364,179545.8873685221,177506.409969005,1.0,178314.7361589774,1.0510140535112549,0.9724608669895668,776865.3849526426,356629.4723179548
4873,173673.43080244618,85549.24393695677,89864.82146847447,112477.50920402698,0.0,115391.2513529761,0.4925868254066829,1.314769178855625,515326.7262389677,346173.75405892835
4874,171730.5503435057,180394.9046456432,179330.22074184896,111273.01289317563,0.0,160682.17215604335,1.0504531912566288,0.616830132265303,625346.1391413957,321364.3443120867
