price,rooms,area_m2,floor,has_document,address,avtodayanacaq,balkon,duzelme,esyali,hovuz,internet,isiq,kabel_tv,kombi,kondisioner,lift,merkezi_qizdirici_sistem,metbex_mebeli,pvc_pencere,qaz,su,telefon,temirli,rooms_group,rooms_group_code
239000,3.0,87.0,14.0,Yes,"Bakı, Binəqədi, Biləcəri qəs., metro Avtovağzal",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3-4,2
203000,2.0,78.0,8.0,No,"Bakı, Yasamal, Yasamal qəs., metro 20 Yanvar",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1-2,1
215000,2.0,61.0,17.0,Yes,"Bakı, Nəsimi",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1-2,1
225000,2.0,65.0,9.0,Yes,"Bakı, Binəqədi, 7-ci mikrorayon, metro Dərnəgül",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1-2,1
235000,3.0,95.0,8.0,Yes,"Bakı, Binəqədi, 9-cu mikrorayon, metro Nəsimi",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3-4,2
299000,3.0,90.0,5.0,Yes,"Bakı, Nəsimi, metro 8 Noyabr",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3-4,2
163000,2.0,65.0,6.0,Yes,"Bakı, Binəqədi, Biləcəri qəs., metro Avtovağzal",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1-2,1
114000,1.0,31.0,3.0,Yes,"Bakı, Yasamal, Yasamal qəs., metro 20 Yanvar",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1-2,1
166000,2.0,65.0,7.0,Yes,"Bakı, Xətai, Əhmədli, metro Əhmədli",Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,1-2,1
257000,2.0,76.0,6.0,No,"Bakı, Yasamal, Yasamal qəs., metro 20 Yanvar",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1-2,1
72500,2.0,38.0,1.0,Yes,"Bakı, Abşeron, Masazır",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1-2,1
108000,2.0,56.0,10.0,Yes,Xırdalan,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,1-2,1
108000,2.0,54.0,3.0,Yes,Xırdalan,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,1-2,1
76500,3.0,74.2,7.0,No,"Bakı, Abşeron, Saray",Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,3-4,2
250000,2.0,107.0,3.0,Yes,"Bakı, Nərimanov, metro Gənclik",No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1-2,1
108000,2.0,54.0,3.0,Yes,Xırdalan,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,1-2,1
